Name,Template,Reference,Type
mods+xml,application/mods+xml,[RFC6207],application
moss-keys,application/moss-keys,[RFC1848],application
moss-signature,application/moss-signature,[RFC1848],application
mosskey-data,application/mosskey-data,[RFC1848],application
mosskey-request,application/mosskey-request,[RFC1848],application
mp21,application/mp21,[RFC6381][David_Singer],application
mp4,application/mp4,[RFC4337][RFC6381],application
mpeg4-generic,application/mpeg4-generic,[RFC3640],application
mpeg4-iod,application/mpeg4-iod,[RFC4337],application
mpeg4-iod-xmt,application/mpeg4-iod-xmt,[RFC4337],application
mrb-consumer+xml,application/mrb-consumer+xml,[RFC6917],application
mrb-publish+xml,application/mrb-publish+xml,[RFC6917],application
msc-ivr+xml,application/msc-ivr+xml,[RFC6231],application
msc-mixer+xml,application/msc-mixer+xml,[RFC6505],application
msword,application/msword,[Paul_Lindner],application
mud+json,application/mud+json,[RFC8520],application
multipart-core,application/multipart-core,[RFC8710],application
mxf,application/mxf,[RFC4539],application
n-quads,application/n-quads,[W3C][Eric_Prudhommeaux],application
n-triples,application/n-triples,[W3C][Eric_Prudhommeaux],application
nasdata,application/nasdata,[RFC4707],application
news-checkgroups,application/news-checkgroups,[RFC5537],application
news-groupinfo,application/news-groupinfo,[RFC5537],application
news-transmission,application/news-transmission,[RFC5537],application
nlsml+xml,application/nlsml+xml,[RFC6787],application
node,application/node,[Node.js_TSC],application
nss,application/nss,[Michael_Hammer],application
oauth-authz-req+jwt,application/oauth-authz-req+jwt,[RFC-ietf-oauth-jwsreq-34],application
ocsp-request,application/ocsp-request,[RFC6960],application
ocsp-response,application/ocsp-response,[RFC6960],application
octet-stream,application/octet-stream,[RFC2045][RFC2046],application
ODA,application/ODA,[RFC1494],application
odm+xml,application/odm+xml,[CDISC][Sam_Hume],application
ODX,application/ODX,[ASAM][Thomas_Thomsen],application
oebps-package+xml,application/oebps-package+xml,[RFC4839],application
ogg,application/ogg,[RFC5334][RFC7845],application
opc-nodeset+xml,application/opc-nodeset+xml,[OPC_Foundation],application
oscore,application/oscore,[RFC8613],application
oxps,application/oxps,[Ecma_International_Helpdesk],application
