Name,Template,Reference,Type
vnd.hc+json,application/vnd.hc+json,[Jan_Schütze],application
vnd.hcl-bireports,application/vnd.hcl-bireports,[Doug_R._Serres],application
vnd.hdt,application/vnd.hdt,[Javier_D._Fernández],application
vnd.heroku+json,application/vnd.heroku+json,[Wesley_Beary],application
vnd.hhe.lesson-player,application/vnd.hhe.lesson-player,[Randy_Jones],application
vnd.hp-HPGL,application/vnd.hp-HPGL,[Bob_Pentecost],application
vnd.hp-hpid,application/vnd.hp-hpid,[Aloke_Gupta],application
vnd.hp-hps,application/vnd.hp-hps,[Steve_Aubrey],application
vnd.hp-jlyt,application/vnd.hp-jlyt,[Amir_Gaash],application
vnd.hp-PCL,application/vnd.hp-PCL,[Bob_Pentecost],application
vnd.hp-PCLXL,application/vnd.hp-PCLXL,[Bob_Pentecost],application
vnd.httphone,application/vnd.httphone,[Franck_Lefevre],application
vnd.hydrostatix.sof-data,application/vnd.hydrostatix.sof-data,[Allen_Gillam],application
vnd.hyper-item+json,application/vnd.hyper-item+json,[Mario_Demuth],application
vnd.hyper+json,application/vnd.hyper+json,[Irakli_Nadareishvili],application
vnd.hyperdrive+json,application/vnd.hyperdrive+json,[Daniel_Sims],application
vnd.hzn-3d-crossword,application/vnd.hzn-3d-crossword,[James_Minnis],application
vnd.ibm.electronic-media,application/vnd.ibm.electronic-media,[Bruce_Tantlinger],application
vnd.ibm.MiniPay,application/vnd.ibm.MiniPay,[Amir_Herzberg],application
vnd.ibm.rights-management,application/vnd.ibm.rights-management,[Bruce_Tantlinger],application
vnd.ibm.secure-container,application/vnd.ibm.secure-container,[Bruce_Tantlinger],application
vnd.iccprofile,application/vnd.iccprofile,[Phil_Green],application
vnd.ieee.1905,application/vnd.ieee.1905,[Purva_R_Rajkotia],application
vnd.igloader,application/vnd.igloader,[Tim_Fisher],application
vnd.imagemeter.folder+zip,application/vnd.imagemeter.folder+zip,[Dirk_Farin],application
vnd.imagemeter.image+zip,application/vnd.imagemeter.image+zip,[Dirk_Farin],application
vnd.immervision-ivp,application/vnd.immervision-ivp,[Mathieu_Villegas],application
vnd.immervision-ivu,application/vnd.immervision-ivu,[Mathieu_Villegas],application
vnd.ims.imsccv1p1,application/vnd.ims.imsccv1p1,[Lisa_Mattson],application
vnd.ims.imsccv1p2,application/vnd.ims.imsccv1p2,[Lisa_Mattson],application
vnd.ims.imsccv1p3,application/vnd.ims.imsccv1p3,[Lisa_Mattson],application
vnd.ims.lis.v2.result+json,application/vnd.ims.lis.v2.result+json,[Lisa_Mattson],application
vnd.ims.lti.v2.toolconsumerprofile+json,application/vnd.ims.lti.v2.toolconsumerprofile+json,[Lisa_Mattson],application
vnd.ims.lti.v2.toolproxy.id+json,application/vnd.ims.lti.v2.toolproxy.id+json,[Lisa_Mattson],application
vnd.ims.lti.v2.toolproxy+json,application/vnd.ims.lti.v2.toolproxy+json,[Lisa_Mattson],application
vnd.ims.lti.v2.toolsettings+json,application/vnd.ims.lti.v2.toolsettings+json,[Lisa_Mattson],application
vnd.ims.lti.v2.toolsettings.simple+json,application/vnd.ims.lti.v2.toolsettings.simple+json,[Lisa_Mattson],application
vnd.informedcontrol.rms+xml,application/vnd.informedcontrol.rms+xml,[Mark_Wahl],application
vnd.infotech.project,application/vnd.infotech.project,[Charles_Engelke],application
vnd.infotech.project+xml,application/vnd.infotech.project+xml,[Charles_Engelke],application
vnd.innopath.wamp.notification,application/vnd.innopath.wamp.notification,[Takanori_Sudo],application
vnd.insors.igm,application/vnd.insors.igm,[Jon_Swanson],application
vnd.intercon.formnet,application/vnd.intercon.formnet,[Tom_Gurak],application
vnd.intergeo,application/vnd.intergeo,[Yves_Kreis_2],application
vnd.intertrust.digibox,application/vnd.intertrust.digibox,[Luke_Tomasello],application
vnd.intertrust.nncp,application/vnd.intertrust.nncp,[Luke_Tomasello],application
vnd.intu.qbo,application/vnd.intu.qbo,[Greg_Scratchley],application
vnd.intu.qfx,application/vnd.intu.qfx,[Greg_Scratchley],application
vnd.iptc.g2.catalogitem+xml,application/vnd.iptc.g2.catalogitem+xml,[Michael_Steidl],application
vnd.iptc.g2.conceptitem+xml,application/vnd.iptc.g2.conceptitem+xml,[Michael_Steidl],application
vnd.iptc.g2.knowledgeitem+xml,application/vnd.iptc.g2.knowledgeitem+xml,[Michael_Steidl],application
vnd.iptc.g2.newsitem+xml,application/vnd.iptc.g2.newsitem+xml,[Michael_Steidl],application
vnd.iptc.g2.newsmessage+xml,application/vnd.iptc.g2.newsmessage+xml,[Michael_Steidl],application
vnd.iptc.g2.packageitem+xml,application/vnd.iptc.g2.packageitem+xml,[Michael_Steidl],application
vnd.iptc.g2.planningitem+xml,application/vnd.iptc.g2.planningitem+xml,[Michael_Steidl],application
vnd.ipunplugged.rcprofile,application/vnd.ipunplugged.rcprofile,[Per_Ersson],application
vnd.irepository.package+xml,application/vnd.irepository.package+xml,[Martin_Knowles],application
vnd.is-xpr,application/vnd.is-xpr,[Satish_Navarajan],application
vnd.isac.fcs,application/vnd.isac.fcs,[Ryan_Brinkman],application
vnd.jam,application/vnd.jam,[Brijesh_Kumar],application
vnd.iso11783-10+zip,application/vnd.iso11783-10+zip,[Frank_Wiebeler],application
vnd.japannet-directory-service,application/vnd.japannet-directory-service,[Kiyofusa_Fujii],application
vnd.japannet-jpnstore-wakeup,application/vnd.japannet-jpnstore-wakeup,[Jun_Yoshitake],application
vnd.japannet-payment-wakeup,application/vnd.japannet-payment-wakeup,[Kiyofusa_Fujii],application
vnd.japannet-registration,application/vnd.japannet-registration,[Jun_Yoshitake],application
vnd.japannet-registration-wakeup,application/vnd.japannet-registration-wakeup,[Kiyofusa_Fujii],application
vnd.japannet-setstore-wakeup,application/vnd.japannet-setstore-wakeup,[Jun_Yoshitake],application
vnd.japannet-verification,application/vnd.japannet-verification,[Jun_Yoshitake],application
vnd.japannet-verification-wakeup,application/vnd.japannet-verification-wakeup,[Kiyofusa_Fujii],application
vnd.jcp.javame.midlet-rms,application/vnd.jcp.javame.midlet-rms,[Mikhail_Gorshenev],application
vnd.jisp,application/vnd.jisp,[Sebastiaan_Deckers],application
vnd.joost.joda-archive,application/vnd.joost.joda-archive,[Joost],application
vnd.jsk.isdn-ngn,application/vnd.jsk.isdn-ngn,[Yokoyama_Kiyonobu],application
vnd.kahootz,application/vnd.kahootz,[Tim_Macdonald],application
vnd.kde.karbon,application/vnd.kde.karbon,[David_Faure],application
vnd.kde.kchart,application/vnd.kde.kchart,[David_Faure],application
vnd.kde.kformula,application/vnd.kde.kformula,[David_Faure],application
vnd.kde.kivio,application/vnd.kde.kivio,[David_Faure],application
vnd.kde.kontour,application/vnd.kde.kontour,[David_Faure],application
vnd.kde.kpresenter,application/vnd.kde.kpresenter,[David_Faure],application
vnd.kde.kspread,application/vnd.kde.kspread,[David_Faure],application
vnd.kde.kword,application/vnd.kde.kword,[David_Faure],application
vnd.kenameaapp,application/vnd.kenameaapp,[Dirk_DiGiorgio-Haag],application
vnd.kidspiration,application/vnd.kidspiration,[Jack_Bennett],application
vnd.Kinar,application/vnd.Kinar,[Hemant_Thakkar],application
vnd.koan,application/vnd.koan,[Pete_Cole],application
vnd.kodak-descriptor,application/vnd.kodak-descriptor,[Michael_J._Donahue],application
vnd.las,application/vnd.las,[NCGIS][Bryan_Blank],application
vnd.las.las+json,application/vnd.las.las+json,[Rob_Bailey],application
vnd.las.las+xml,application/vnd.las.las+xml,[Rob_Bailey],application
vnd.laszip,application/vnd.laszip,[NCGIS][Bryan_Blank],application
vnd.leap+json,application/vnd.leap+json,[Mark_C_Fralick],application
vnd.liberty-request+xml,application/vnd.liberty-request+xml,[Brett_McDowell],application
vnd.llamagraphics.life-balance.desktop,application/vnd.llamagraphics.life-balance.desktop,[Catherine_E._White],application
vnd.llamagraphics.life-balance.exchange+xml,application/vnd.llamagraphics.life-balance.exchange+xml,[Catherine_E._White],application
vnd.logipipe.circuit+zip,application/vnd.logipipe.circuit+zip,[Victor_Kuchynsky],application
vnd.loom,application/vnd.loom,[Sten_Linnarsson],application
vnd.lotus-1-2-3,application/vnd.lotus-1-2-3,[Paul_Wattenberger],application
vnd.lotus-approach,application/vnd.lotus-approach,[Paul_Wattenberger],application
vnd.lotus-freelance,application/vnd.lotus-freelance,[Paul_Wattenberger],application
vnd.lotus-notes,application/vnd.lotus-notes,[Michael_Laramie],application
vnd.lotus-organizer,application/vnd.lotus-organizer,[Paul_Wattenberger],application
vnd.lotus-screencam,application/vnd.lotus-screencam,[Paul_Wattenberger],application
vnd.lotus-wordpro,application/vnd.lotus-wordpro,[Paul_Wattenberger],application
vnd.macports.portpkg,application/vnd.macports.portpkg,[James_Berry],application
vnd.mapbox-vector-tile,application/vnd.mapbox-vector-tile,[Blake_Thompson],application
vnd.marlin.drm.actiontoken+xml,application/vnd.marlin.drm.actiontoken+xml,[Gary_Ellison],application
vnd.marlin.drm.conftoken+xml,application/vnd.marlin.drm.conftoken+xml,[Gary_Ellison],application
vnd.marlin.drm.license+xml,application/vnd.marlin.drm.license+xml,[Gary_Ellison],application
vnd.marlin.drm.mdcf,application/vnd.marlin.drm.mdcf,[Gary_Ellison],application
vnd.mason+json,application/vnd.mason+json,[Jorn_Wildt],application
vnd.maxmind.maxmind-db,application/vnd.maxmind.maxmind-db,[William_Stevenson],application
vnd.mcd,application/vnd.mcd,[Tadashi_Gotoh],application
vnd.medcalcdata,application/vnd.medcalcdata,[Frank_Schoonjans],application
vnd.mediastation.cdkey,application/vnd.mediastation.cdkey,[Henry_Flurry],application
vnd.meridian-slingshot,application/vnd.meridian-slingshot,[Eric_Wedel],application
vnd.MFER,application/vnd.MFER,[Masaaki_Hirai],application
vnd.mfmp,application/vnd.mfmp,[Yukari_Ikeda],application
vnd.micro+json,application/vnd.micro+json,[Dali_Zheng],application
vnd.micrografx.flo,application/vnd.micrografx.flo,[Joe_Prevo],application
vnd.micrografx.igx,application/vnd.micrografx.igx,[Joe_Prevo],application
vnd.microsoft.portable-executable,application/vnd.microsoft.portable-executable,[Henrik_Andersson],application
vnd.microsoft.windows.thumbnail-cache,application/vnd.microsoft.windows.thumbnail-cache,[Henrik_Andersson],application
vnd.miele+json,application/vnd.miele+json,[Nils_Langhammer],application
vnd.mif,application/vnd.mif,[Mike_Wexler],application
vnd.minisoft-hp3000-save,application/vnd.minisoft-hp3000-save,[Chris_Bartram],application
vnd.mitsubishi.misty-guard.trustweb,application/vnd.mitsubishi.misty-guard.trustweb,[Tanaka],application
vnd.Mobius.DAF,application/vnd.Mobius.DAF,[Allen_K._Kabayama],application
vnd.Mobius.DIS,application/vnd.Mobius.DIS,[Allen_K._Kabayama],application
vnd.Mobius.MBK,application/vnd.Mobius.MBK,[Alex_Devasia],application
vnd.Mobius.MQY,application/vnd.Mobius.MQY,[Alex_Devasia],application
vnd.Mobius.MSL,application/vnd.Mobius.MSL,[Allen_K._Kabayama],application
vnd.Mobius.PLC,application/vnd.Mobius.PLC,[Allen_K._Kabayama],application
vnd.Mobius.TXF,application/vnd.Mobius.TXF,[Allen_K._Kabayama],application
vnd.mophun.application,application/vnd.mophun.application,[Bjorn_Wennerstrom],application
vnd.mophun.certificate,application/vnd.mophun.certificate,[Bjorn_Wennerstrom],application
vnd.motorola.flexsuite,application/vnd.motorola.flexsuite,[Mark_Patton],application
vnd.motorola.flexsuite.adsi,application/vnd.motorola.flexsuite.adsi,[Mark_Patton],application
vnd.motorola.flexsuite.fis,application/vnd.motorola.flexsuite.fis,[Mark_Patton],application
vnd.motorola.flexsuite.gotap,application/vnd.motorola.flexsuite.gotap,[Mark_Patton],application
vnd.motorola.flexsuite.kmr,application/vnd.motorola.flexsuite.kmr,[Mark_Patton],application
vnd.motorola.flexsuite.ttc,application/vnd.motorola.flexsuite.ttc,[Mark_Patton],application
vnd.motorola.flexsuite.wem,application/vnd.motorola.flexsuite.wem,[Mark_Patton],application
vnd.motorola.iprm,application/vnd.motorola.iprm,[Rafie_Shamsaasef],application
vnd.mozilla.xul+xml,application/vnd.mozilla.xul+xml,[Braden_N_McDaniel],application
vnd.ms-artgalry,application/vnd.ms-artgalry,[Dean_Slawson],application
vnd.ms-asf,application/vnd.ms-asf,[Eric_Fleischman],application
vnd.ms-cab-compressed,application/vnd.ms-cab-compressed,[Kim_Scarborough],application
vnd.ms-3mfdocument,application/vnd.ms-3mfdocument,[Shawn_Maloney],application
vnd.ms-excel,application/vnd.ms-excel,[Sukvinder_S._Gill],application
vnd.ms-excel.addin.macroEnabled.12,application/vnd.ms-excel.addin.macroEnabled.12,[Chris_Rae],application
vnd.ms-excel.sheet.binary.macroEnabled.12,application/vnd.ms-excel.sheet.binary.macroEnabled.12,[Chris_Rae],application
vnd.ms-excel.sheet.macroEnabled.12,application/vnd.ms-excel.sheet.macroEnabled.12,[Chris_Rae],application
vnd.ms-excel.template.macroEnabled.12,application/vnd.ms-excel.template.macroEnabled.12,[Chris_Rae],application
vnd.ms-fontobject,application/vnd.ms-fontobject,[Kim_Scarborough],application
vnd.ms-htmlhelp,application/vnd.ms-htmlhelp,[Anatoly_Techtonik],application
vnd.ms-ims,application/vnd.ms-ims,[Eric_Ledoux],application
vnd.ms-lrm,application/vnd.ms-lrm,[Eric_Ledoux],application
vnd.ms-office.activeX+xml,application/vnd.ms-office.activeX+xml,[Chris_Rae],application
vnd.ms-officetheme,application/vnd.ms-officetheme,[Chris_Rae],application
vnd.ms-playready.initiator+xml,application/vnd.ms-playready.initiator+xml,[Daniel_Schneider],application
vnd.ms-powerpoint,application/vnd.ms-powerpoint,[Sukvinder_S._Gill],application
vnd.ms-powerpoint.addin.macroEnabled.12,application/vnd.ms-powerpoint.addin.macroEnabled.12,[Chris_Rae],application
vnd.ms-powerpoint.presentation.macroEnabled.12,application/vnd.ms-powerpoint.presentation.macroEnabled.12,[Chris_Rae],application
vnd.ms-powerpoint.slide.macroEnabled.12,application/vnd.ms-powerpoint.slide.macroEnabled.12,[Chris_Rae],application
vnd.ms-powerpoint.slideshow.macroEnabled.12,application/vnd.ms-powerpoint.slideshow.macroEnabled.12,[Chris_Rae],application
vnd.ms-powerpoint.template.macroEnabled.12,application/vnd.ms-powerpoint.template.macroEnabled.12,[Chris_Rae],application
vnd.ms-PrintDeviceCapabilities+xml,application/vnd.ms-PrintDeviceCapabilities+xml,[Justin_Hutchings],application
vnd.ms-PrintSchemaTicket+xml,application/vnd.ms-PrintSchemaTicket+xml,[Justin_Hutchings],application
vnd.ms-project,application/vnd.ms-project,[Sukvinder_S._Gill],application
vnd.ms-tnef,application/vnd.ms-tnef,[Sukvinder_S._Gill],application
vnd.ms-windows.devicepairing,application/vnd.ms-windows.devicepairing,[Justin_Hutchings],application
vnd.ms-windows.nwprinting.oob,application/vnd.ms-windows.nwprinting.oob,[Justin_Hutchings],application
vnd.ms-windows.printerpairing,application/vnd.ms-windows.printerpairing,[Justin_Hutchings],application
vnd.ms-windows.wsd.oob,application/vnd.ms-windows.wsd.oob,[Justin_Hutchings],application
vnd.ms-wmdrm.lic-chlg-req,application/vnd.ms-wmdrm.lic-chlg-req,[Kevin_Lau],application
vnd.ms-wmdrm.lic-resp,application/vnd.ms-wmdrm.lic-resp,[Kevin_Lau],application
vnd.ms-wmdrm.meter-chlg-req,application/vnd.ms-wmdrm.meter-chlg-req,[Kevin_Lau],application
vnd.ms-wmdrm.meter-resp,application/vnd.ms-wmdrm.meter-resp,[Kevin_Lau],application
vnd.ms-word.document.macroEnabled.12,application/vnd.ms-word.document.macroEnabled.12,[Chris_Rae],application
vnd.ms-word.template.macroEnabled.12,application/vnd.ms-word.template.macroEnabled.12,[Chris_Rae],application
vnd.ms-works,application/vnd.ms-works,[Sukvinder_S._Gill],application
vnd.ms-wpl,application/vnd.ms-wpl,[Dan_Plastina],application
vnd.ms-xpsdocument,application/vnd.ms-xpsdocument,[Jesse_McGatha],application
vnd.msa-disk-image,application/vnd.msa-disk-image,[Thomas_Huth],application
vnd.mseq,application/vnd.mseq,[Gwenael_Le_Bodic],application
vnd.msign,application/vnd.msign,[Malte_Borcherding],application
vnd.multiad.creator,application/vnd.multiad.creator,[Steve_Mills],application
vnd.multiad.creator.cif,application/vnd.multiad.creator.cif,[Steve_Mills],application
vnd.musician,application/vnd.musician,[Greg_Adams],application
vnd.music-niff,application/vnd.music-niff,[Tim_Butler],application
vnd.muvee.style,application/vnd.muvee.style,[Chandrashekhara_Anantharamu],application
vnd.mynfc,application/vnd.mynfc,[Franck_Lefevre],application
vnd.ncd.control,application/vnd.ncd.control,[Lauri_Tarkkala],application
vnd.ncd.reference,application/vnd.ncd.reference,[Lauri_Tarkkala],application
vnd.nearst.inv+json,application/vnd.nearst.inv+json,[Thomas_Schoffelen],application
vnd.nebumind.line,application/vnd.nebumind.line,[Andreas_Molzer],application
vnd.nervana,application/vnd.nervana,[Steve_Judkins],application
vnd.netfpx,application/vnd.netfpx,[Andy_Mutz],application
vnd.neurolanguage.nlu,application/vnd.neurolanguage.nlu,[Dan_DuFeu],application
vnd.nimn,application/vnd.nimn,[Amit_Kumar_Gupta],application
vnd.nintendo.snes.rom,application/vnd.nintendo.snes.rom,[Henrik_Andersson],application
vnd.nintendo.nitro.rom,application/vnd.nintendo.nitro.rom,[Henrik_Andersson],application
vnd.nitf,application/vnd.nitf,[Steve_Rogan],application
vnd.noblenet-directory,application/vnd.noblenet-directory,[Monty_Solomon],application
vnd.noblenet-sealer,application/vnd.noblenet-sealer,[Monty_Solomon],application
vnd.noblenet-web,application/vnd.noblenet-web,[Monty_Solomon],application
vnd.nokia.catalogs,application/vnd.nokia.catalogs,[Nokia],application
vnd.nokia.conml+wbxml,application/vnd.nokia.conml+wbxml,[Nokia],application
vnd.nokia.conml+xml,application/vnd.nokia.conml+xml,[Nokia],application
vnd.nokia.iptv.config+xml,application/vnd.nokia.iptv.config+xml,[Nokia],application
vnd.nokia.iSDS-radio-presets,application/vnd.nokia.iSDS-radio-presets,[Nokia],application
vnd.nokia.landmark+wbxml,application/vnd.nokia.landmark+wbxml,[Nokia],application
vnd.nokia.landmark+xml,application/vnd.nokia.landmark+xml,[Nokia],application
vnd.nokia.landmarkcollection+xml,application/vnd.nokia.landmarkcollection+xml,[Nokia],application
vnd.nokia.ncd,application/vnd.nokia.ncd,[Nokia],application
vnd.nokia.n-gage.ac+xml,application/vnd.nokia.n-gage.ac+xml,[Nokia],application
vnd.nokia.n-gage.data,application/vnd.nokia.n-gage.data,[Nokia],application
vnd.nokia.pcd+wbxml,application/vnd.nokia.pcd+wbxml,[Nokia],application
vnd.nokia.pcd+xml,application/vnd.nokia.pcd+xml,[Nokia],application
vnd.nokia.radio-preset,application/vnd.nokia.radio-preset,[Nokia],application
vnd.nokia.radio-presets,application/vnd.nokia.radio-presets,[Nokia],application
vnd.novadigm.EDM,application/vnd.novadigm.EDM,[Janine_Swenson],application
vnd.novadigm.EDX,application/vnd.novadigm.EDX,[Janine_Swenson],application
vnd.novadigm.EXT,application/vnd.novadigm.EXT,[Janine_Swenson],application
vnd.ntt-local.content-share,application/vnd.ntt-local.content-share,[Akinori_Taya],application
vnd.ntt-local.file-transfer,application/vnd.ntt-local.file-transfer,[NTT-local],application
vnd.ntt-local.ogw_remote-access,application/vnd.ntt-local.ogw_remote-access,[NTT-local],application
vnd.ntt-local.sip-ta_remote,application/vnd.ntt-local.sip-ta_remote,[NTT-local],application
vnd.ntt-local.sip-ta_tcp_stream,application/vnd.ntt-local.sip-ta_tcp_stream,[NTT-local],application
vnd.oasis.opendocument.chart,application/vnd.oasis.opendocument.chart,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.chart-template,application/vnd.oasis.opendocument.chart-template,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.database,application/vnd.oasis.opendocument.database,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.formula,application/vnd.oasis.opendocument.formula,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.formula-template,application/vnd.oasis.opendocument.formula-template,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.graphics,application/vnd.oasis.opendocument.graphics,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.graphics-template,application/vnd.oasis.opendocument.graphics-template,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.image,application/vnd.oasis.opendocument.image,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.image-template,application/vnd.oasis.opendocument.image-template,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.presentation,application/vnd.oasis.opendocument.presentation,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.presentation-template,application/vnd.oasis.opendocument.presentation-template,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.spreadsheet,application/vnd.oasis.opendocument.spreadsheet,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.spreadsheet-template,application/vnd.oasis.opendocument.spreadsheet-template,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.text,application/vnd.oasis.opendocument.text,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.text-master,application/vnd.oasis.opendocument.text-master,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.text-template,application/vnd.oasis.opendocument.text-template,[Svante_Schubert][OASIS],application
vnd.oasis.opendocument.text-web,application/vnd.oasis.opendocument.text-web,[Svante_Schubert][OASIS],application
vnd.obn,application/vnd.obn,[Matthias_Hessling],application
vnd.ocf+cbor,application/vnd.ocf+cbor,[Michael_Koster],application
vnd.oci.image.manifest.v1+json,application/vnd.oci.image.manifest.v1+json,[Steven_Lasker],application
vnd.oftn.l10n+json,application/vnd.oftn.l10n+json,[Eli_Grey],application
vnd.oipf.contentaccessdownload+xml,application/vnd.oipf.contentaccessdownload+xml,[Claire_DEsclercs],application
vnd.oipf.contentaccessstreaming+xml,application/vnd.oipf.contentaccessstreaming+xml,[Claire_DEsclercs],application
vnd.oipf.cspg-hexbinary,application/vnd.oipf.cspg-hexbinary,[Claire_DEsclercs],application
vnd.oipf.dae.svg+xml,application/vnd.oipf.dae.svg+xml,[Claire_DEsclercs],application
vnd.oipf.dae.xhtml+xml,application/vnd.oipf.dae.xhtml+xml,[Claire_DEsclercs],application
vnd.oipf.mippvcontrolmessage+xml,application/vnd.oipf.mippvcontrolmessage+xml,[Claire_DEsclercs],application
vnd.oipf.pae.gem,application/vnd.oipf.pae.gem,[Claire_DEsclercs],application
vnd.oipf.spdiscovery+xml,application/vnd.oipf.spdiscovery+xml,[Claire_DEsclercs],application
vnd.oipf.spdlist+xml,application/vnd.oipf.spdlist+xml,[Claire_DEsclercs],application
vnd.oipf.ueprofile+xml,application/vnd.oipf.ueprofile+xml,[Claire_DEsclercs],application
vnd.oipf.userprofile+xml,application/vnd.oipf.userprofile+xml,[Claire_DEsclercs],application
vnd.olpc-sugar,application/vnd.olpc-sugar,[John_Palmieri],application
vnd.oma.bcast.associated-procedure-parameter+xml,application/vnd.oma.bcast.associated-procedure-parameter+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.drm-trigger+xml,application/vnd.oma.bcast.drm-trigger+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.imd+xml,application/vnd.oma.bcast.imd+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.ltkm,application/vnd.oma.bcast.ltkm,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.notification+xml,application/vnd.oma.bcast.notification+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.provisioningtrigger,application/vnd.oma.bcast.provisioningtrigger,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.sgboot,application/vnd.oma.bcast.sgboot,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.sgdd+xml,application/vnd.oma.bcast.sgdd+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.sgdu,application/vnd.oma.bcast.sgdu,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.simple-symbol-container,application/vnd.oma.bcast.simple-symbol-container,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.smartcard-trigger+xml,application/vnd.oma.bcast.smartcard-trigger+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.sprov+xml,application/vnd.oma.bcast.sprov+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.bcast.stkm,application/vnd.oma.bcast.stkm,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.cab-address-book+xml,application/vnd.oma.cab-address-book+xml,[Hao_Wang][OMA],application
vnd.oma.cab-feature-handler+xml,application/vnd.oma.cab-feature-handler+xml,[Hao_Wang][OMA],application
vnd.oma.cab-pcc+xml,application/vnd.oma.cab-pcc+xml,[Hao_Wang][OMA],application
vnd.oma.cab-subs-invite+xml,application/vnd.oma.cab-subs-invite+xml,[Hao_Wang][OMA],application
vnd.oma.cab-user-prefs+xml,application/vnd.oma.cab-user-prefs+xml,[Hao_Wang][OMA],application
vnd.oma.dcd,application/vnd.oma.dcd,[Avi_Primo][Open_Mobile_Naming_Authority],application
vnd.oma.dcdc,application/vnd.oma.dcdc,[Avi_Primo][Open_Mobile_Naming_Authority],application
vnd.oma.dd2+xml,application/vnd.oma.dd2+xml,[Jun_Sato][Open_Mobile_Alliance_BAC_DLDRM_Working_Group],application
vnd.oma.drm.risd+xml,application/vnd.oma.drm.risd+xml,[Uwe_Rauschenbach][Open_Mobile_Naming_Authority],application
vnd.oma.group-usage-list+xml,application/vnd.oma.group-usage-list+xml,[Sean_Kelley][OMA_Presence_and_Availability_PAG_Working_Group],application
vnd.oma.lwm2m+cbor,application/vnd.oma.lwm2m+cbor,[Open_Mobile_Naming_Authority][John_Mudge],application
vnd.oma.lwm2m+json,application/vnd.oma.lwm2m+json,[Open_Mobile_Naming_Authority][John_Mudge],application
vnd.oma.lwm2m+tlv,application/vnd.oma.lwm2m+tlv,[Open_Mobile_Naming_Authority][John_Mudge],application
vnd.oma.pal+xml,application/vnd.oma.pal+xml,[Brian_McColgan][Open_Mobile_Naming_Authority],application
vnd.oma.poc.detailed-progress-report+xml,application/vnd.oma.poc.detailed-progress-report+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],application
vnd.oma.poc.final-report+xml,application/vnd.oma.poc.final-report+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],application
vnd.oma.poc.groups+xml,application/vnd.oma.poc.groups+xml,[Sean_Kelley][OMA_Push_to_Talk_over_Cellular_POC_Working_Group],application
vnd.oma.poc.invocation-descriptor+xml,application/vnd.oma.poc.invocation-descriptor+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],application
vnd.oma.poc.optimized-progress-report+xml,application/vnd.oma.poc.optimized-progress-report+xml,[OMA_Push_to_Talk_over_Cellular_POC_Working_Group],application
vnd.oma.push,application/vnd.oma.push,[Bryan_Sullivan][OMA],application
vnd.oma.scidm.messages+xml,application/vnd.oma.scidm.messages+xml,[Wenjun_Zeng][Open_Mobile_Naming_Authority],application
vnd.oma.xcap-directory+xml,application/vnd.oma.xcap-directory+xml,[Sean_Kelley][OMA_Presence_and_Availability_PAG_Working_Group],application
vnd.omads-email+xml,application/vnd.omads-email+xml,[OMA_Data_Synchronization_Working_Group],application
vnd.omads-file+xml,application/vnd.omads-file+xml,[OMA_Data_Synchronization_Working_Group],application
vnd.omads-folder+xml,application/vnd.omads-folder+xml,[OMA_Data_Synchronization_Working_Group],application
vnd.omaloc-supl-init,application/vnd.omaloc-supl-init,[Julien_Grange],application
